"product_sku,Product,Initial,base_type,tracking_unit_label,tracking_to_base,checkout_unit_label,checkout_to_base,ordering_unit_label,ordering_to_base,stock?,discontinued?"
"1991001,ADVANCE GRANULAR CARPENTER ANT BAIT,1,COUNT,each,1,each,1,each,1,y,n"
"1991002,ADVION ANT GEL,11,COUNT,each,1,each,1,case (4),4,y,n"
"1991003,ADVION INSECT GRANULE,2,MASS,lbs,16,oz,1,1 lb bag,16,n,n"
"1991004,ADVION MICROFLOW,0,COUNT,each,1,each,1,each,1,n,n"
"1991005,ADVION TRIO COCKROACH GEL,0,COUNT,each,1,each,1,case (4),4,n,n"
"1991006,ADVION WDG,0,COUNT,each,1,each,1,each,1,n,n"
"1991007,AIRCOVER NONIONIC ORGANIC,0.5,VOLUME,gal,128,fl oz,1,1 gal jug,128,y,n"
"1991008,AIRWORKS AIR FRESHENER NEUTRALIZER,0,COUNT,each,1,each,1,each,1,y,n"
"1991009,ALPINE WSG (200g),0,COUNT,each,1,each,1,each,1,y,n"
"1991010,ALPINE WSG (500g),6,COUNT,each,1,each,1,each,1,y,n"
"1991011,ALTOSID PRO-G IGR,9,COUNT,each,1,each,1,each,1,y,n"
"1991012,ANTIXX GRANULES,0,MASS,lbs,16,oz,1,20 lb bag,320,n,n"
"1991013,ANTIXX LIQUID,22,MASS,oz,1,oz,1,32 oz bottle,32,n,n"
"1991014,AQUABAC MOSQUITO GRANULE,4,MASS,lbs,16,oz,1,40 lb bag,640,n,n"
"1991015,AVERT DF,1,COUNT,each,1,each,1,each,1,y,n"
"1991016,AVESTA CS,2,COUNT,each,1,each,1,each,1,n,n"
"1991017,BEDLAM,4,COUNT,each,1,each,1,each,1,n,n"
"1991018,BEDLAM PLUS,5,COUNT,each,1,each,1,each,1,y,n"
"1991019,BIFEN I/T,5,COUNT,each,1,each,1,each,1,n,n"
"1991020,BORACTIN,496,MASS,lbs,16,oz,1,25 lb bag,400,y,n"
"1991021,BORACTIN - 5LB PAIL,11,COUNT,each,1,each,1,each,1,y,n"
"1991022,CATCHMASTER GIANT GLUE BOARDS,0,COUNT,each,1,each,1,case (24),24,y,n"
"1991023,CATCHMASTER MOUSE GLUE BOARDS,100,COUNT,each,1,each,1,case (72),72,y,n"
"1991024,CB-80,3,COUNT,each,1,each,1,each,1,y,n"
"1991025,CIMEXA INSECTICIDE DUST,5,COUNT,each,1,each,1,each,1,y,n"
"1991026,CONTRAC BLOX,3102,MASS,lbs,16,oz,1,18 lb pail,288,y,n"
"1991027,CONTRAC BLOX - 4 LB PAIL,1,COUNT,each,1,each,1,each,1,y,n"
"1991028,CONTRAPEST FEEDING TRAY - 13.5 OZ,0,COUNT,each,1,each,1,each,1,y,n"
"1991029,CONTRAPEST HANGER - 8 OZ,27,COUNT,each,1,each,1,each,1,y,n"
"1991030,CONTRAPEST HANGER UNIT,4,COUNT,each,1,each,1,each,1,y,n"
"1991031,CROSSFIRE AEROSOL,6,COUNT,each,1,each,1,each,1,n,n"
"1991032,CROSSFIRE BED BUG CONCENTRATE,4,COUNT,each,1,each,1,each,1,n,n"
"1991033,CYCICK CS,60,COUNT,each,1,each,1,each,1,n,n"
"1991034,CYZMIC CS,72,COUNT,each,1,each,1,each,1,n,n"
"1991035,DELTA DUST,5,COUNT,each,1,each,1,each,1,y,n"
"1991036,DEMAND CS,9,COUNT,each,1,each,1,each,1,y,n"
"1991037,D-FENSE NXT,0,COUNT,each,1,each,1,each,1,n,n"
"1991038,DITRAC BAIT BLOX,3744,MASS,lbs,16,oz,1,18 lb pail,288,y,n"
"1991039,DITRAC BAIT BLOX - 4 LB PAIL,4,COUNT,each,1,each,1,each,1,y,n"
"1991040,DOXEM NXT,0,COUNT,each,1,each,1,each,1,n,n"
"1991041,DR. T'S MOSQUITO REPELLING GRANULES,50,MASS,lbs,16,oz,1,25 lb bag,400,n,n"
"1991042,DROPLEX,0,VOLUME,gal,128,fl oz,1,2.5 gal jug,320,n,n"
"1991043,DROPLEX XTRA ADJUVANT,5,VOLUME,gal,128,fl oz,1,2.5 gal jug,320,y,n"
"1991044,DSV,1,VOLUME,gal,128,fl oz,1,1 gal jug,128,y,n"
"1991045,DUPONT ALTRISET TERMITICIDE,3,COUNT,each,1,each,1,each,1,n,n"
"1991046,DUST MASK M95,15,COUNT,each,1,each,1,case (20),20,y,n"
"1991047,ECO EXTEND,2,COUNT,each,1,each,1,each,1,n,n"
"1991048,ECO PCO ACU,0,COUNT,each,1,each,1,each,1,n,n"
"1991049,ECO PCO ARX,13,COUNT,each,1,each,1,each,1,y,n"
"1991050,ECO PCO DX,1,COUNT,each,1,each,1,each,1,n,n"
"1991051,ECO PCO WP-X,32,COUNT,each,1,each,1,each,1,n,n"
"1991052,ECO VIA WD,3,COUNT,each,1,each,1,each,1,y,n"
"1991053,ENDIUS COCKROACH GEL BAIT,7,COUNT,each,1,each,1,case (4),4,n,n"
"1991054,ESSENTRIA ALL- PURPOSE,0,COUNT,each,1,each,1,each,1,n,n"
"1991055,ESSENTRIA BROADCAST,2,COUNT,each,1,each,1,each,1,n,n"
"1991056,ESSENTRIA DUST,0,COUNT,each,1,each,1,each,1,n,n"
"1991057,ESSENTRIA G,4,COUNT,each,1,each,1,each,1,y,n"
"1991058,ESSENTRIA GENERAL HOUSEHOLD,0,MASS,oz,1,oz,1,1 oz bottle,1,n,n"
"1991059,ESSENTRIA MOSQUITO & TICK,1,VOLUME,gal,128,fl oz,1,1 gal jug,128,n,n"
"1991060,ESSENTRIA WASP & HORNET SPRAY,0,COUNT,each,1,each,1,each,1,n,n"
"1991061,EVO PROTECTA EDGE,12,COUNT,each,1,each,1,case (6),6,n,n"
"1991062,EVO PROTECTA EXPRESS,84,COUNT,each,1,each,1,pallet (96),96,y,n"
"1991063,EXCITE R 55,0,COUNT,each,1,each,1,each,1,y,n"
"1991064,EXODUS VCS CONCENTRATE,76,MASS,oz,1,oz,1,32 oz bottle,32,y,n"
"1991065,EXODUS VCS DUST,71.3,MASS,lbs,16,oz,1,30 lb bag,480,y,n"
"1991066,EXODUS VCS GRANULE,438,MASS,lbs,16,oz,1,30 lb bag,480,y,n"
"1991067,FENDONA CS,17,COUNT,each,1,each,1,each,1,n,n"
"1991068,FICAM D,4,MASS,lbs,16,oz,1,1 lb bag,16,n,n"
"1991069,FINAL ALL WEATHER BLOX,0,MASS,oz,1,oz,1,1 oz bottle,1,n,n"
"1991070,FINAL FEED MOSQUITO BAIT,0,MASS,oz,1,oz,1,4 oz bottle,4,n,n"
"1991071,FINAL SOFT BAIT,0,MASS,oz,1,oz,1,1 oz bottle,1,n,n"
"1991072,FIREBACK BED BUG & INSECT,12,COUNT,each,1,each,1,each,1,y,n"
"1991073,FOAM FRESH BIO-SANITATION,4,COUNT,each,1,each,1,each,1,y,n"
"1991074,FORMITROL ANT BAIT,9,COUNT,each,1,each,1,case (4),4,n,n"
"1991075,FUSE TERMITICIDE/INSECTICIDE,2,COUNT,each,1,each,1,each,1,n,n"
"1991076,GENTROL AEROSOL,0,COUNT,each,1,each,1,each,1,n,n"
"1991077,GENTROL COMPLETE,5,COUNT,each,1,each,1,each,1,y,n"
"1991078,GENTROL IGR CONCENTRATE - 1 OZ,7,COUNT,each,1,each,1,case (10),10,n,n"
"1991079,GENTROL IGR CONCENTRATE - 16 OZ,6,COUNT,each,1,each,1,each,1,y,n"
"1991080,GENTROL POINT SOURCE ROACH BAIT,90,COUNT,each,1,each,1,case (20),20,y,n"
"1991081,GLO STICK FLYING INSECT TRAP,0,COUNT,each,1,each,1,each,1,n,n"
"1991082,GREEN GLOVES (SIZE 10),8,COUNT,each,1,each,1,each,1,y,n"
"1991083,GREEN GLOVES (SIZE 11),0,COUNT,each,1,each,1,each,1,y,n"
"1991084,GREENSHIELD IA CONCENTRATE,128,VOLUME,gal,128,fl oz,1,1 gal jug,128,n,y"
"1991085,GREENSHIELD PRO RBW CONCENTRATE,512,VOLUME,gal,128,fl oz,1,1 gal jug,128,n,y"
"1991086,GREENSHIELD RBW DUST,92.3,MASS,lbs,16,oz,1,30 lb bag,480,n,y"
"1991087,GREENSHIELD RBWIA GRANULES,2,MASS,lbs,16,oz,1,30 lb bag,480,n,y"
"1991088,GREENSHIELD RBWIA POUCHES,0,COUNT,each,1,each,1,each,1,n,y"
"1991089,IN2CARE MIX,88,COUNT,each,1,each,1,case (25),25,y,n"
"1991090,IN2CARE STATION,50,COUNT,each,1,each,1,each,1,y,n"
"1991091,INSECTIGUARD YARDGUARD,1,VOLUME,gal,128,fl oz,1,1 gal jug,128,n,n"
"1991092,INTICE 10 (1 LB),4,COUNT,each,1,each,1,each,1,y,n"
"1991093,INTICE 10 (40 LBS),1057,MASS,lbs,16,oz,1,40 lb bag,640,y,n"
"1991094,INVADE HOT SPOT,6,COUNT,each,1,each,1,each,1,y,n"
"1991095,KILLS BED BUGS PLUS,0.5,COUNT,each,1,each,1,each,1,n,n"
"1991096,KNESS KETCH-ALL LIVE MULTI TRAP (LG),1,COUNT,each,1,each,1,each,1,n,n"
"1991097,KNESS PRO-KETCH LIVE MOUSE TRAP (SM),6,COUNT,each,1,each,1,each,1,n,n"
"1991098,MAXFORCE COMPLETE GRANULAR,0,MASS,oz,1,oz,1,1 oz bottle,1,n,n"
"1991099,MAXFORCE FC ANT BAIT STATIONS,3,COUNT,each,1,each,1,case (4),4,y,n"
"1991100,MAXFORCE FC ROACH BAIT STATIONS,26,COUNT,each,1,each,1,bag (72),72,y,n"
"1991101,MAXFORCE FC ROACH GEL BAIT,11,COUNT,each,1,each,1,case (4),4,y,n"
"1991102,MAXFORCE FC SELECT ROACH KILLER BAIT GEL,0,COUNT,each,1,each,1,case (4),4,n,n"
"1991103,MAXFORCE GRANULAR FLY BAIT,0,MASS,lbs,16,oz,1,10 lb bag,160,n,n"
"1991104,MAXFORCE IMPACT ROACH GEL BAIT,0,COUNT,each,1,each,1,case (4),4,n,n"
"1991105,MOSQUITO MIST ULTRA,1.5,VOLUME,gal,128,fl oz,1,gal,128,y,n"
"1991106,MYSTIC SPI BLUE,2,VOLUME,gal,128,fl oz,1,1 gal jug,128,n,n"
"1991107,NIBOR-D INSECTICIDE,142.5,MASS,lbs,16,oz,1,15 lb pail,240,y,n"
"1991108,NIBOR-D INSECTICIDE FOAM + IGR,4,COUNT,each,1,each,1,each,1,y,n"
"1991109,NILOTRON - Mtn Rain Aerosol- Freshner,0,COUNT,each,1,each,1,each,1,n,n"
"1991110,NITRILE GLOVES (LG),0,COUNT,each,1,each,1,each,1,y,n"
"1991111,NITRILE GLOVES (MD),2,COUNT,each,1,each,1,each,1,y,n"
"1991112,NITRILE GLOVES (XL),0,COUNT,each,1,each,1,each,1,y,n"
"1991113,NITRILE GLOVES (XXL),1,COUNT,each,1,each,1,each,1,y,n"
"1991114,NYGUARD IGR CONCENTRATE,3,COUNT,each,1,each,1,each,1,y,n"
"1991115,ODOR CONTROL FOGGER,10,COUNT,each,1,each,1,each,1,y,n"
"1991116,ONE GUARD MULTI MOA CONC,1,VOLUME,gal,128,fl oz,1,1 gal jug,128,n,n"
"1991117,ONSLAUGHT FC,8,COUNT,each,1,each,1,each,1,y,n"
"1991118,OPTIGARD ANT GEL,20,COUNT,each,1,each,1,case (4),4,y,n"
"1991119,OPTIGARD FLEX,0,COUNT,each,1,each,1,each,1,n,n"
"1991120,PERMADUST,0,MASS,lbs,16,oz,1,1 lb bag,16,n,n"
"1991121,PETCOR FLEA & TICK SPRAY,2,COUNT,each,1,each,1,each,1,y,n"
"1991122,PHANTOM TERMITICIDE/ INSECTICIDE,45,COUNT,each,1,each,1,each,1,n,n"
"1991123,POST FLIGHT,2.5,COUNT,each,1,each,1,each,1,y,n"
"1991124,PRECOR 2625 PREMISE,9,COUNT,each,1,each,1,each,1,y,n"
"1991125,PRECOR IGR CONCENTRATE,5,COUNT,each,1,each,1,each,1,y,n"
"1991126,PRECOR OUTDOOR FTM,3,COUNT,each,1,each,1,each,1,n,n"
"1991127,PREMISE GRANULES,1,COUNT,each,1,each,1,each,1,n,n"
"1991128,PREMISE PRE-CONSTRUCTION,5,VOLUME,gal,128,fl oz,1,275 oz bottle,275,n,n"
"1991129,PROBAIT - 25 LBS,435,MASS,lbs,16,oz,1,25 lb bag,400,y,n"
"1991130,PROBAIT - 4.5 LBS,0,COUNT,each,1,each,1,each,1,n,y"
"1991131,PROFOAM PLATINUM NPD,17,COUNT,each,1,each,1,each,1,y,n"
"1991132,PROTECTA RTU,3,COUNT,each,1,each,1,each,1,n,n"
"1991133,PT 221L PRESSURIZED,6,COUNT,each,1,each,1,each,1,n,n"
"1991134,PT ALPINE FLEA & BED BUG,6,COUNT,each,1,each,1,each,1,n,n"
"1991135,PT CLEAR ZONE III,4,COUNT,each,1,each,1,each,1,y,n"
"1991136,PT ULTRACIDE,1,COUNT,each,1,each,1,each,1,n,n"
"1991137,PT WASP FREEZE,0,COUNT,each,1,each,1,each,1,n,n"
"1991138,QUALIPRO FIPRONIL GRANULES,3,COUNT,each,1,each,1,30 lb bag,1,n,n"
"1991139,RATSORB,1,COUNT,each,1,each,1,each,1,y,n"
"1991140,RIDESCO WG,0,MASS,oz,1,oz,1,1 oz bottle,1,n,n"
"1991141,ROUND UP QUICK PRO,7,COUNT,each,1,each,1,each,1,n,n"
"1991142,SCION INSECTICIDE,8,COUNT,each,1,each,1,each,1,n,n"
"1991143,SECTOR MISTING CONCENTRATE,1,VOLUME,gal,128,fl oz,1,1 gal jug,128,n,n"
"1991144,SELONTRA RODENT BAIT,80,MASS,lbs,16,oz,1,8 lb bag,128,n,n"
